total time elapsed: 0h 0m 46s , epoch: 21, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 47s , epoch: 22, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 49s , epoch: 23, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 51s , epoch: 24, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 52s , epoch: 25, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 54s , epoch: 26, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 56s , epoch: 27, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 57s , epoch: 28, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 59s , epoch: 29, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 1s , epoch: 30, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 3s , epoch: 31, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 4s , epoch: 32, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 6s , epoch: 33, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 8s , epoch: 34, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 9s , epoch: 35, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 11s , epoch: 36, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 13s , epoch: 37, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 14s , epoch: 38, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 16s , epoch: 39, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 18s , epoch: 40, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 20s , epoch: 41, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 21s , epoch: 42, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 23s , epoch: 43, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 25s , epoch: 44, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 26s , epoch: 45, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 28s , epoch: 46, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 30s , epoch: 47, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 32s , epoch: 48, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 33s , epoch: 49, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 35s , epoch: 50, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 37s , epoch: 51, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 38s , epoch: 52, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 40s , epoch: 53, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 42s , epoch: 54, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 44s , epoch: 55, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 45s , epoch: 56, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 47s , epoch: 57, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 48s , epoch: 58, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 50s , epoch: 59, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 52s , epoch: 60, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 54s , epoch: 61, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 55s , epoch: 62, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 57s , epoch: 63, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 1m 59s , epoch: 64, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 2m 1s , epoch: 65, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 2m 2s , epoch: 66, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 2m 4s , epoch: 67, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 13s , epoch: 0, best accuracy: 4.00%, best loss 2.835706
total time elapsed: 0h 2m 6s , epoch: 68, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 15s , epoch: 1, best accuracy: 5.00%, best loss 2.832715
total time elapsed: 0h 2m 8s , epoch: 69, best accuracy: 10.00%, best loss 2.806131
total time elapsed: 0h 0m 17s , epoch: 2, best accuracy: 5.00%, best loss 2.832715
total time elapsed: 0h 0m 19s , epoch: 3, best accuracy: 5.00%, best loss 2.826996
total time elapsed: 0h 0m 21s , epoch: 4, best accuracy: 5.00%, best loss 2.826996
